#WAVELENGTH,THROUGHPUT
2660.79150390625,2.6604928713992745E-7
2670.0,2.7613336663515296E-7
2670.793701171875,2.769618820085884E-7
2680.0,2.823951490456565E-7
2680.796142578125,2.828700911162758E-7
2690.0,2.8985807559490664E-7
2690.798583984375,2.904466567458974E-7
2700.0,2.9605536543460026E-7
2700.801025390625,2.9688442133776846E-7
2710.0,3.107014300283764E-7
2710.803466796875,3.1192791144419547E-7
2720.0,3.2483163910301064E-7
2720.805908203125,3.259604289898933E-7
2730.0,3.3892003834338557E-7
2730.808349609375,3.400324704636596E-7
2740.0,3.65101686680828E-7
2740.810791015625,3.673343322837212E-7
2750.0,3.775444189847967E-7
2750.81298828125,3.784181466460349E-7
2760.0,3.86558211533901E-7
2760.815673828125,3.873076280794837E-7
2770.0,4.0512585990817934E-7
2770.818115234375,4.067101448872494E-7
2780.0,4.212388870092429E-7
2780.8203125,4.22502921779725E-7
2790.0,4.39255157758217E-7
2790.822998046875,4.4078578132693536E-7
2800.0,4.4627395027195165E-7
2800.8251953125,4.4703369859037304E-7
2810.0,4.7252166694670734E-7
2810.827880859375,4.747980035922381E-7
2820.0,4.790033512863231E-7
2820.830078125,4.79421190669491E-7
2830.0,5.059880545525889E-7
2830.83251953125,5.083294949808637E-7
2840.0,5.102300973884596E-7
2840.835205078125,5.104420404449333E-7
2850.0,5.156546103758133E-7
2850.837646484375,5.161325695892212E-7
2860.0,5.328133012757266E-7
2860.840087890625,5.343081891529108E-7
2870.0,5.381778476244338E-7
2870.842529296875,5.385754477038465E-7
2880.0,5.463414125048199E-7
2880.844970703125,5.470185836951415E-7
2890.0,5.372705607059346E-7
2890.847412109375,5.364057536401814E-7
2900.0,5.389344456216225E-7
2900.849853515625,5.393593685997185E-7
2910.0,5.364824988254172E-7
2910.852294921875,5.361682943255654E-7
2920.0,5.305287585639912E-7
2920.854736328125,5.300360346767567E-7
2930.0,5.157178488336525E-7
2930.857421875,5.143216337671802E-7
2940.0,5.17870414515453E-7
2940.85986328125,5.182442631392488E-7
2950.0,5.098929381533396E-7
2950.8623046875,5.090957559822002E-7
2960.0,4.983643040384265E-7
