WAVELENGTH,THROUGHPUT
3110.902099609375,0.15025877344272884
3120.0,0.1668281717461723
3120.90478515625,0.16846316328326977
3130.0,0.17362476076507757
3130.9072265625,0.17415343351226667
3140.0,0.18009693175792324
3140.909912109375,0.18067732778076342
3150.0,0.18181739638390054
3150.912353515625,0.1819464948764315
3160.0,0.18315636413751252
3160.914794921875,0.183263198446737
3170.0,0.1873233275645811
3170.917236328125,0.18774831911154108
3180.0,0.19081862787814374
3180.919921875,0.19111406681428525
3190.0,0.19299923763860888
3190.92236328125,0.19320642708038827
3200.0,0.1968037742209952
3200.9248046875,0.19714054506614928
3210.0,0.1955025219013444
3210.927490234375,0.1953513640929922
3220.0,0.1976131118309533
3220.929931640625,0.19782854794579116
3230.0,0.19677678859868364
3230.9326171875,0.19668496436841731
3240.0,0.19680994114032643
3240.93505859375,0.19680650701817923
3250.0,0.1975317009844651
3250.9375,0.19762299517296797
3260.0,0.19837015923758133
3260.940185546875,0.19843109051051358
3270.0,0.19883750384304963
3270.942626953125,0.198896337441931
3280.0,0.19890943525642993
3280.9453125,0.19889415694827575
3290.0,0.19855581404772382
3290.94775390625,0.19853708426106065
3300.0,0.19829864944670786
3300.9501953125,0.19825699939261401
3310.0,0.19749424912662494
3310.952880859375,0.19743071513406366
3320.0,0.19787344201678017
3320.955322265625,0.19790347243183845
3330.0,0.1990432770329564
3330.9580078125,0.19918070487156847
3340.0,0.2003449304441293
3340.96044921875,0.20045156110318726
3350.0,0.20109596554826234
3350.962890625,0.2011816083133083
3360.0,0.20089752208147524
3360.965576171875,0.20085013494836418
3370.0,0.19964604244401468
3370.968017578125,0.19953429858658506
3380.0,0.19800684469192897
3380.970703125,0.1978259324549477
3390.0,0.19549015575370846
3390.97314453125,0.1952554753620535
3400.0,0.1943725179580732
3400.975830078125,0.1941657456047063
3410.0,0.1935944250462187
3410.978271484375,0.19354884976447492
3420.0,0.19335584234498845
3420.98095703125,0.19331777309913536
3430.0,0.1928130671729614
3430.9833984375,0.1927732899504307
3440.0,0.19268553705147703
3440.986083984375,0.19265872464584388
3450.0,0.19138376095486878
3450.988525390625,0.1912607150467072
3460.0,0.18950977732138716
3460.9912109375,0.18930113272889565
3470.0,0.18692343080888613
3470.99365234375,0.18666222215255374
3480.0,0.18452481219495678
3480.996337890625,0.18430533144257172
3490.0,0.18210616959066384
3490.998779296875,0.18184710247159824
3500.0,0.17936828467814492
3501.00146484375,0.17908582692710032
3510.0,0.17625740119999114
3511.00390625,0.17592764342307923
3520.0,0.17305976302874074
3521.006591796875,0.17275566029616662
3530.0,0.16991405455922426
3531.009033203125,0.16958160611625506
3540.0,0.1665768642088276
3541.01171875,0.16625518258780303
3550.0,0.1634540596236929
3551.014404296875,0.1631247939227532
3560.0,0.15975759354578603
3561.016845703125,0.15937862299250657
3570.0,0.155348223470923
3571.019287109375,0.15490746456468363
3580.0,0.14977459676494684
3581.02197265625,0.14918064886530422
3590.0,0.14315203756586078
3591.024658203125,0.14248156474429818
3600.0,0.13633020025885334
3601.027099609375,0.13576878814918528
3610.0,0.13222477390393225
3611.02978515625,0.13182901672528363
3620.0,0.12937136865382098
3621.0322265625,0.12907601370051117
3630.0,0.12400083710786387
3631.034912109375,0.12341193249316618
3640.0,0.10900818007687146
3641.03759765625,0.10734752336056749
3650.0,0.08160684083456016
3651.0400390625,0.07860405663145356
